polygon_id,area_ha,road_distance_m,village_distance_m,waterway_distance_m,protected_area,vulnerability_score,disturbance_score,risk_score,risk_class,reforestation_suitability,reforestation_priority
240,0.2750454831695852,758.9637657686835,1381.8298343586343,2810.2808428272897,True,0.8545485638634961,0.0043225016770746,0.5294355327702853,High,Moderately Suitable,High
241,0.3536177055678657,907.9659805833588,2709.479629497388,4694.453866284654,True,0.7589235032160262,0.0063556255260103,0.4826395643710183,Moderate,Moderately Suitable,Medium
242,0.117875610710339,1573.1758431500016,1846.0170955661747,2412.3410129370545,True,0.8107749465259183,0.0002555960165561,0.5055152712712372,Moderate,Moderately Suitable,Medium
243,0.2259392002798638,1063.3828106351532,1327.710267484151,2488.1841089963864,True,0.8497392351889548,0.003051834361982,0.5263955347754684,High,Moderately Suitable,High
244,0.2554088463973858,150.6207482363319,191.6249747798003,1414.672798230978,True,0.9555674412685188,0.0038143868075208,0.5796909140380198,High,Moderately Suitable,High
245,0.3045246729367197,108.09104407341678,795.9375891635783,2108.328170794459,True,0.9212306020590793,0.0050853010727574,0.5631579515659183,High,Moderately Suitable,High
246,0.1080591683848679,67.49542005295135,165.74780846988563,1167.3638085231528,True,0.9663290580510522,1.5871264619558423e-06,0.5831653225887571,High,Moderately Suitable,High
247,0.1178808621952211,151.16478309892668,683.9456320256168,1981.7260311332373,True,0.9258851272400992,0.0002557319032451,0.5630704295716722,High,Moderately Suitable,High
248,0.1669906237651379,85.05275799294056,1948.43565559416,3608.312388232027,True,0.8487066573321191,0.0015264892321804,0.5251165732821498,High,Moderately Suitable,High
249,0.4518574188882695,145.25526130382164,2004.8514377200463,3624.515492832401,True,0.8436494736658899,0.0088976626221724,0.5262735681440311,High,Moderately Suitable,High
250,0.1670087747864871,375.45298327503536,5464.765856841916,8277.777194698856,True,0.6081473118814998,0.0015269589054728,0.4048371353934864,Low,Unsuitable,Low
251,0.6483883182939901,655.7876913736081,5750.91168577488,8571.422821110953,True,0.5785465386607245,0.0139830687165698,0.3962648036886471,Low,Unsuitable,Low
252,0.176833502249363,696.721629870511,5748.084908648517,8628.114837362058,True,0.5753294081606488,0.0017811821806249,0.3885552951706369,Low,Unsuitable,Low
253,1.1788874594853007,536.7970593112445,5630.642440783291,8450.271097466837,True,0.5909878374784443,0.0277101903745109,0.4093490139264776,Low,Unsuitable,Low
254,0.1571854503667092,627.6590430758871,5731.312530842424,8565.982916125848,True,0.5806394457396487,0.001272771935268,0.3909561088374583,Low,Unsuitable,Low
255,0.1277122097209118,576.9015673052053,4399.462179353485,7195.880164753786,True,0.6592867697988778,0.0005101264782177,0.4298984481385477,Moderate,Unsuitable,Medium
256,0.1375373291819112,472.21867369819824,5577.168008474543,8415.753593179965,True,0.5966010855364364,0.0007643598966584,0.3986827227165475,Low,Unsuitable,Low
257,0.2161287188716442,663.9079324203901,4331.861367691929,7140.573668600146,True,0.658703622874183,0.0027979797157498,0.4307508012949664,Moderate,Unsuitable,Medium
258,1.5128379974583546,112.75864882399348,1131.9028010990378,156.49690796155778,True,0.9575270586545752,0.0363514478366748,0.596939253245625,High,Suitable,High
259,0.1375385124071867,769.8402602263834,5696.811731171123,8711.093216657928,True,0.571519055294953,0.0007643905136303,0.3861417229042917,Low,Unsuitable,Low
260,0.245585054141101,0.2850031433555625,2192.5417925408733,536.9135436407208,True,0.919359933399424,0.0035601877316439,0.561460060565534,High,Suitable,High
261,1.0216621456219546,102.52910769254612,1393.3565890794391,2044.8614877417108,True,0.9037437931110366,0.023641850119966,0.5636928216155013,High,Moderately Suitable,High
262,0.1768262614309293,131.10444862413948,1497.2840832840438,2158.61238860252,True,0.8962786401308727,0.0017809948182188,0.5490298174745457,High,Moderately Suitable,High
263,0.2849151896961137,205.86220049600584,2156.0376367855893,10302.220590893605,True,0.6738605019581883,0.0045778888241934,0.4392191953911908,Moderate,Unsuitable,Medium
264,0.1375338504984832,55.88777131947739,764.3885507249233,1797.532506024352,True,0.932255998010323,0.0007642698827321,0.5665101339465276,High,Moderately Suitable,High
265,0.1375335810826956,82.16724216217209,1101.3659975936478,2145.3781800847755,True,0.9116937870545426,0.0007642629113668,0.5562290249829547,High,Moderately Suitable,High
266,0.4126010813225629,124.24573120092016,979.6158837608048,2026.773956565108,True,0.9165162919006344,0.0078818711160834,0.562199081508359,High,Moderately Suitable,High
267,0.1473576090387368,137.56597700714062,1083.6646965171724,2190.808501638151,True,0.9085472640210274,0.0010184680861777,0.5547828660536026,High,Moderately Suitable,High
268,0.1277142278551278,2318.243070519624,472.8294010568313,3317.450037444469,True,0.7979706518400118,0.0005101786991767,0.4992404152695943,Moderate,Moderately Suitable,Medium
269,0.20630513371369,25.147335583114405,776.9158062674401,585.0751959732454,True,0.962725258289074,0.0025437859987203,0.5826345221438972,High,Suitable,High
270,0.3831049290075312,2052.8135311517112,4083.018977157503,1043.2645940154252,True,0.7491234997329846,0.0071186327998811,0.4781210662664329,Moderate,Moderately Suitable,Medium
271,0.2259491479454815,59.84854224990181,1231.829813013229,2378.7176540590604,True,0.9028727386605804,0.0030520917663877,0.552962415213484,High,Moderately Suitable,High
272,0.1277115108128656,44.03071820466694,2523.435066490621,1476.161760149629,True,0.883818116291158,0.0005101083933707,0.5421641123422644,High,Moderately Suitable,High
273,0.3929734838981029,86.92783360254062,647.0002226099936,268.41551105849106,True,0.9716873458008496,0.0073739901474288,0.5895306679741393,High,Suitable,High
274,0.1178975121838331,1674.243623473529,5042.062562423969,7053.258418987273,True,0.5901889726969066,0.0002561627360242,0.3952225677164654,Low,Unsuitable,Low
275,0.1178976892995488,1611.463505369672,5179.610879722716,7184.40025707999,True,0.5855295427156406,0.0002561673190457,0.3928928550173431,Low,Unsuitable,Low
276,0.1277154098892248,100.3385403606969,2138.15364264203,1093.4067405648666,True,0.902887793987563,0.0005102092853258,0.5516990016364445,High,Moderately Suitable,High
277,0.4617674967437164,2022.768739808771,4957.109018449157,6805.5116597130245,True,0.5824885424988722,0.0091540944121578,0.395821318455515,Low,Unsuitable,Low
278,0.284922272540879,1798.0951307352016,5173.273745988129,6888.823561177275,True,0.5840951222675262,0.0045780720988949,0.3943365971832105,Low,Unsuitable,Low
279,0.1080741596337355,1633.8907322821,5068.593181557572,6687.145076374476,True,0.6001219541578525,1.9750379231278246e-06,0.4000619645978878,Low,Unsuitable,Low
280,0.2357979357418221,1565.3141013756915,4796.431251649408,6332.489793350254,True,0.6207536772027618,0.0033069376233668,0.4120303074130643,Low,Unsuitable,Low
281,0.1572004274380777,1533.146639364811,6171.946360556771,7060.682671116389,True,0.5601887951868468,0.0012731594798741,0.3807309773333605,Low,Unsuitable,Low
282,0.4126471155095374,1472.545423678523,4816.032766684816,6292.162047383101,True,0.625479424244222,0.0078830622902738,0.4166812432672478,Low,Unsuitable,Low
283,0.1178995623710787,1453.8591762194897,5122.231718201511,6680.2288258612525,True,0.6070579907746818,0.0002562157863829,0.4036571032805324,Low,Unsuitable,Low
