polygon_id,area_ha,road_distance_m,village_distance_m,waterway_distance_m,protected_area,vulnerability_score,disturbance_score,risk_score,risk_class
150,0.1767428442469068,1057.811415709383,1491.1340687689783,3617.8493652963866,False,0.8173123785431806,0.0017788363268198305,0.40954560743500024,Low
151,0.137466988719878,1157.635829076672,1519.8163058508767,3650.0164027961,False,0.8108925405100819,0.0007625397766906158,0.40582754014338623,Low
152,0.1472866347080808,1115.1306904203077,1728.489803789456,3858.719124482195,False,0.8010971923866907,0.0010166315643140038,0.40105691197550236,Low
153,0.1178294309868555,1221.8068534501708,1708.723619093982,3837.371824213779,False,0.7972167784614408,0.00025440107648331753,0.39873558976896206,Low
154,0.1865635279448051,1257.049595722518,1749.3982074380865,3876.564958864448,False,0.7932884173120627,0.0020329549660743143,0.3976606861390685,Low
155,4.752465651290924,1385.13921082801,1724.1460620378218,3843.160038446669,True,0.7888667093102948,0.12017960037755245,0.5545231548439237,High
156,0.2749454588056857,56.17013261953505,6394.786033526075,7464.240604524418,True,0.6129353211496105,0.00431991346060941,0.40862761730511,Low
157,4.291129398370482,566.1083443530479,5792.710874190489,7114.378183307661,True,0.6167887606238269,0.10824212795330625,0.4625154442885666,Moderate
158,0.3927839878663769,469.2268102178516,5885.647119154993,7831.730263209516,True,0.6009544566410325,0.007369086774587668,0.4041617717078101,Low
159,0.235701920863675,1542.1665668956623,4157.284187382301,259.2218003369091,True,0.7898616664535887,0.0033044531557948212,0.49658305980469175,Moderate
160,0.1080192890272038,728.5939612183221,4566.065577956843,5406.815303605145,True,0.6901601033813647,5.55213774847045e-07,0.4450803292975698,Moderate
161,0.1374735692673299,2439.139683353025,2362.635236526282,5227.636017162059,False,0.6848903673703789,0.0007627100540170695,0.342826538712198,Low
162,0.1571129062115349,2502.2933672672125,2387.186333448172,5236.897065098511,False,0.680891157211664,0.0012708947928443408,0.3410810260022542,Low
163,1.2863655793203363,2625.0900725036618,2406.76612957022,5225.398543879617,False,0.6747402153824958,0.03049127918688705,0.35261574728469147,Low
164,0.2160317348727749,2790.6103032383294,2455.9407449580103,5239.084545813658,False,0.6650053992739621,0.002795470171345391,0.33390043472265374,Low
165,0.3142364904094519,379.5775333859893,4399.590907534033,6617.339996450829,True,0.6826384241568024,0.005336602704779932,0.44398751343079124,Moderate
166,0.1865980973214469,466.371374937001,5498.585107141236,476.6976350182827,True,0.7920692216853257,0.002033849478434382,0.4970515355818801,Moderate
167,0.2455095597946856,905.954674112426,2514.4077448172056,2860.167332441308,True,0.8098290700525538,0.0035582342504838897,0.5066936521515188,Moderate
168,0.1473073316442795,345.4641832113404,1439.0981194067035,1679.7152939929576,True,0.8996577368659727,0.0010171671153433766,0.5503374519906581,High
169,0.1276666148230356,423.1363871887028,1429.117803495863,1638.591497679583,True,0.8973106718576411,0.0005089466710106383,0.5489098092643259,High
170,0.2062233049621545,587.8708554443454,3077.597897905226,5293.903536579297,True,0.7476040963758643,0.0025416686093784526,0.47507288249262136,Moderate
171,0.4321285838154477,17.047734319848075,5521.09042970945,850.7846601190752,True,0.8034792717137266,0.008387162042273464,0.505933216878,Moderate
172,0.8740793676238593,200.801499750902,5720.710104983345,1026.2863956399,True,0.7840992448795394,0.019823018776248195,0.5019611318278938,Moderate
173,0.2651463897935922,597.7700146302892,2710.611363553648,4922.433664403088,True,0.7680003721935563,0.00406635411994488,0.4860333631567506,Moderate
174,0.1080277091080767,1044.7791302996088,1456.4529344018235,593.219373931294,True,0.8924452968101815,7.730906110893265e-07,0.5462230349503963,High
175,0.1767738769300718,1191.67011491212,1760.0781928217534,724.3450187773572,True,0.8725244419539131,0.0017796393241936272,0.5371520406390534,High
176,0.1276702319744367,1259.536261139471,1828.4055358598607,793.341154779155,True,0.8654397085065428,0.000509040267914917,0.5329743743872288,High
177,0.1080286489530892,1311.040638056052,1827.151185982,844.0254838448122,True,0.8618185167028036,7.974099093207399e-07,0.5309096570563565,High
178,0.7758429117666856,1187.1132931404768,1867.0987450689008,716.4658613477554,True,0.8694752978559636,0.017281065969749543,0.5433781819128566,High
179,0.7561673153545501,1289.831262447953,2417.688774451742,4738.029749869225,True,0.7492578829614186,0.01677194298599615,0.48301491297370736,Moderate
180,0.1374912580149715,1455.281888172301,1926.727171700816,1051.8394791862654,True,0.8467501623940965,0.0007631677655796323,0.5237566650798381,High
181,0.1473056289855618,1332.2417680802723,2322.003871756176,4644.037085573866,True,0.752625873436529,0.0010171230575842867,0.47682149824705666,Moderate
